Acciaio	Forza	
	L0 (mm) +/- 2 mm	950
	D (mm) +/- 1%	0,33
	L0 (mm) +/- 2 mm	950
	D (mm) +/- 1%	0,356
	L0 (mm) +/- 2 mm	950
	D (mm) +/- 1%	0,381
	L0 (mm) +/- 2 mm	950
	D (mm) +/- 1%	0,305
	L0 (mm) +/- 2 mm	950
	D (mm) +/- 1%	0,30
	L0 (mm) +/- 2 mm	950
	D (mm) +/- 1%	0,4
	L0 (mm) +/- 2 mm	950
	D (mm) +/- 1%	0,279
	L0 (mm) +/- 2 mm	600
	D (mm) +/- 1%	0,279
	L0 (mm) +/- 2 mm	800
	D (mm) +/- 1%	0,279
Tungsteno	L0 (mm) +/- 2 mm	1000
	D (mm) +/- 1%	0,25
Ottone	L0 (mm) +/- 2 mm	1000
	D (mm) +/- 1%	0,5
